iter	Logloss
0	0.6647154141
1	0.6392826009
2	0.6140458172
3	0.5915269255
4	0.5701641282
5	0.5526101862
6	0.5342340992
7	0.5186252857
8	0.505458996
9	0.4925947884
10	0.4810036638
11	0.4701143894
12	0.4610482648
13	0.4509930162
14	0.4416834007
15	0.4348046786
16	0.4273949924
17	0.4199114206
18	0.4143299108
19	0.4091871844
20	0.4047329972
21	0.3992627178
22	0.3951964629
23	0.3924100027
24	0.3880421286
25	0.3833992516
26	0.3809403599
27	0.3779410735
28	0.3747615948
29	0.371522886
30	0.3689800761
31	0.3663489666
32	0.3641440366
33	0.3616058586
34	0.3593129428
35	0.3572335919
36	0.35523198
37	0.3531157305
38	0.3513156353
39	0.3499025457
40	0.3491105454
41	0.3481867729
42	0.3474405817
43	0.3460567197
44	0.3449220108
45	0.3439438568
46	0.3423790496
47	0.3407340153
48	0.3391338463
49	0.3377788599
50	0.3361776287
51	0.3349848878
52	0.3339335215
53	0.3330720987
54	0.3316347445
55	0.3308934656
56	0.3300630693
57	0.3290344512
58	0.3283402609
59	0.327308457
60	0.326774271
61	0.326095183
62	0.3253741307
63	0.3248121846
64	0.3242172394
65	0.323442125
66	0.3227983417
67	0.3222528299
68	0.3216478267
69	0.320819112
70	0.3202649981
71	0.3196285095
72	0.319173368
73	0.3187271858
74	0.3183446653
75	0.3179244942
76	0.3174066471
77	0.3170416014
78	0.3165005225
79	0.3161110642
80	0.3160378045
81	0.3155521065
82	0.3150128366
83	0.3146712753
84	0.3141170795
85	0.3135839415
86	0.3128859789
87	0.3125525226
88	0.3121093786
89	0.3114918931
90	0.3111677622
91	0.3108605382
92	0.3106017123
93	0.3100719773
94	0.3097966319
95	0.3094555643
96	0.3088752212
97	0.308594646
98	0.3083077564
99	0.3080624291
