iter	Passed	Remaining
0	4	437
1	8	429
2	12	413
3	17	408
4	21	403
5	25	395
6	29	391
7	33	386
8	37	383
9	41	377
10	46	373
11	49	366
12	54	362
13	58	359
14	62	354
15	66	350
16	71	347
17	75	344
18	79	340
19	84	336
20	88	332
21	92	328
22	96	324
23	101	320
24	105	316
25	109	313
26	114	308
27	118	305
28	122	300
29	127	296
30	131	292
31	136	290
32	140	285
33	145	282
34	149	278
35	154	273
36	158	269
37	162	265
38	166	260
39	171	256
40	175	252
41	181	250
42	189	251
43	194	247
44	199	243
45	203	238
46	207	234
47	211	229
48	217	226
49	221	221
50	226	217
51	230	212
52	234	208
53	238	203
54	243	198
55	247	194
56	251	189
57	256	185
58	260	180
59	264	176
60	269	172
61	273	167
62	277	163
63	281	158
64	286	154
65	290	149
66	294	145
67	299	140
68	303	136
69	307	131
70	311	127
71	316	122
72	320	118
73	324	114
74	328	109
75	333	105
76	337	100
77	341	96
78	347	92
79	353	88
80	362	84
81	370	81
82	378	77
83	383	73
84	387	68
85	391	63
86	395	59
87	400	54
88	404	49
89	408	45
90	412	40
91	417	36
92	422	31
93	427	27
94	431	22
95	435	18
96	440	13
97	444	9
98	448	4
99	452	0
